uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,samplingImpractical,eventID,trappingDays,fieldSampleID,samplingProtocolVersion,trapCondition,toxicodendronPossible,remarks,measuredBy,recordedBy,publicationDate,release
4c74b951-cda1-4b20-b04a-d7142e73549d,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ010007.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
ca2e2128-369a-4e50-a9bd-c61e65471a0f,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,CLBJ_025_174,2019-08-13,2019-10-07,OK,LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ025174.20191007,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224934Z,RELEASE-2024
240419e9-efdb-4227-a704-d286a4b4b359,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ007077.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
2f9168c1-bc15-46de-acdd-c2e5ff07e251,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ021073.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
3d56db65-4d04-43bf-be74-2e492ca79628,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ030063.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
2cebb1e8-e381-4a79-9bb8-e2a695c500f2,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ023015.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
96d32851-cce3-4b7a-90a6-b7ddfdaa2942,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,CLBJ_004_062,2019-08-13,2019-10-07,OK,LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ004062.20191007,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224934Z,RELEASE-2024
a1ba745d-541a-418f-8cff-201f16aa2576,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ015137.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
fa3c0e4e-7fb1-43d3-b1ad-b6b8e9fe75d7,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ011144.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
0a95072d-6d84-4c6f-b608-14222a567445,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ029190.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
3219ad20-4458-4b47-bed7-43af31b8db78,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-08-13,2019-10-07,"",LTR.2019.CLBJ.07,55,NEON.LTR.CLBJ006014.20191007,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
ef506ddc-d35f-4840-b99c-caf672172d35,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,CLBJ_012_170,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ012170.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
7447b954-e6cb-48fe-a868-08a0fa68de69,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,CLBJ_003_027,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ003027.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
64b50ad5-54e6-4468-a486-cc5783d9229e,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,CLBJ_017_195,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ017195.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
01d7dd12-7d28-4075-a5d6-dca5135dab51,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,CLBJ_008_144,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ008144.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
b8074085-9046-46e8-a6c2-76d6167951f5,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,CLBJ_018_073,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ018073.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
c5ced9df-f97d-47ce-9031-cfa434ddd57d,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,CLBJ_016_007,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ016007.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
5cb5c15d-1cca-4e69-ad9d-6bc1f8ba0861,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,CLBJ_009_048,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ009048.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
47fb3bd6-153e-4762-bd6c-0aab790a0359,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,CLBJ_028_018,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ028018.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
9ca8c185-1b42-4ea7-9c05-9e6ad653e7d0,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,CLBJ_027_063,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ027063.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
b140026e-2d87-4495-9274-dce2fdd6aeb6,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,CLBJ_014_157,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ014157.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
06398054-a128-493a-84d2-232e9e18b2e9,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,CLBJ_002_024,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ002024.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
1971cc80-e328-439b-84cb-1a4983ce7da7,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,CLBJ_026_152,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ026152.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
f26ee8e6-191a-4c63-97c4-599efdfa38e0,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,CLBJ_005_029,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ005029.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
286d930d-321f-4212-aa01-53e84fd4ff9d,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,CLBJ_022_038,2019-08-13,2019-10-08,"",LTR.2019.CLBJ.07,56,NEON.LTR.CLBJ022038.20191008,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
3d9457ef-2ad9-4e8c-8c72-4b009da00ff3,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ011144.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
68519da5-6e98-4dab-a96c-62636dcbc538,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,CLBJ_003_027,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ003027.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
fa35921a-4848-40d4-917e-2534cd684571,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,CLBJ_008_144,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ008144.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
ba1b427e-cc53-4351-ae9f-d2f28164b1f5,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ023015.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
9ed2825d-297e-42d6-b02a-f2cedecfcfb6,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,CLBJ_016_007,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ016007.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
974b2f93-fcd4-4524-a598-8c502de713ea,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,CLBJ_026_152,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ026152.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
fd5180ee-cd2e-4d21-b4f1-1b8ad2d751cd,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ010007.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
509370a0-d145-4177-bbc4-74f43dc90da5,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,CLBJ_005_029,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ005029.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
b846e262-14d4-4349-810f-ca6e4f54fe6b,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ030063.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
910866d7-519f-40a3-b916-846b72a687a8,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,CLBJ_022_038,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ022038.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
7737d5fa-aeab-48c9-a56d-11dfb570e6cc,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,CLBJ_002_024,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ002024.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
9d638014-23bb-4ad2-82a8-ea6c352e4856,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,CLBJ_014_157,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ014157.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
0e1f1e37-a182-4fc8-9549-dc948b400f06,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ015137.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
4e875b9d-bf57-4ff3-a840-eff0e5234dfe,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-08,2019-10-23,OK,LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ006014.20191023,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224934Z,RELEASE-2024
5e092096-36b8-44bc-8bd1-eea5c944beb9,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,CLBJ_012_170,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ012170.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
27058da5-9c30-419d-b234-2fea821aa401,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ007077.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
f0d2b6a5-8a42-49aa-a427-4cbe9179a3f3,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,CLBJ_028_018,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ028018.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
215495d3-21b5-42ed-a78b-018208f19e8b,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ021073.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
ac83d2db-fa60-4462-ad26-6f228147d743,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,CLBJ_018_073,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ018073.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
c83b96e0-8dd3-40c0-9098-ffb953d09df5,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,CLBJ_009_048,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ009048.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
01757fc5-0022-484b-964b-c1d849fba063,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,CLBJ_004_062,2019-10-08,2019-10-23,OK,LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ004062.20191023,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224934Z,RELEASE-2024
43bcf6b5-f698-42ef-9da2-b4cb1e2a8c03,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ029190.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
e5b94ae0-02d2-4b72-b2a0-ea9a67564385,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,CLBJ_025_174,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ025174.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
959b5c45-da5d-4eb6-be7d-cf5d4d8598f2,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,CLBJ_027_063,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ027063.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
3a8fd3fe-771f-431f-9209-8b162e4e7bae,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,CLBJ_017_195,2019-10-08,2019-10-23,"",LTR.2019.CLBJ.08,15,NEON.LTR.CLBJ017195.20191023,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224934Z,RELEASE-2024
d502f374-1280-4690-86d4-b9ae716ade64,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,CLBJ_014_157,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ014157.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
dbd2046a-313d-432d-b7d5-02ea26a1eda8,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,CLBJ_028_018,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ028018.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
c7e793d6-2bfb-4660-93a3-462d53734435,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ006014.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
0b6df3cf-0d82-4678-81bc-19ca652d7f87,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,CLBJ_017_195,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ017195.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
f23ae38b-4ea1-4a45-a0c4-e0a99ff681ae,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,CLBJ_009_048,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ009048.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
20383140-ccc6-4571-8fa2-11b14fd29625,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ007077.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
9dbf7ec9-7fd5-4386-a0a7-8ecb37dc538a,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ023015.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
729edb19-b0ae-4458-89db-a7bdddc24463,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,CLBJ_027_063,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ027063.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
12aeb217-11ee-4644-bcac-3e43e431e28c,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,CLBJ_025_174,2019-10-23,2019-11-06,OK,LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ025174.20191106,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224033Z,RELEASE-2024
e41b8a66-d9dc-43ab-8bbf-2332fbf9614d,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,CLBJ_003_027,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ003027.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
99c354dc-4be1-4885-9c2f-0f0aea35f202,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,CLBJ_005_029,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ005029.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
314c9e9a-6fcc-4ff0-97bb-7eab53834ce3,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ010007.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
57ae8f92-a011-4f5b-9782-dad6054e9a60,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,CLBJ_022_038,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ022038.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
142d9060-858d-4cb5-80e5-460f922a5503,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,CLBJ_004_062,2019-10-23,2019-11-06,OK,LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ004062.20191106,NEON.DOC.001710vG,TE - Litter not collected - trap empty,N,,,,20240104T224033Z,RELEASE-2024
f503d869-2189-4bdd-8d5c-64e050f952f2,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-23,2019-11-06,"",LTR.2019.CLBJ.09,14,NEON.LTR.CLBJ029190.20191106,NEON.DOC.001710vG,"OK - Litter collected - Trap in good shape, no issues",N,,,,20240104T224033Z,RELEASE-2024
